"bbl","address","zipcode","unitsres","numfloors","latitude","longitude"
"4038260017","78-24 78 STREET","11385",2,2,40.7039028,-73.8724395
"4038260018","78-26 78 STREET","11385",1,2,40.7038506,-73.872418
"4038260019","78-28 78 STREET","11385",1,2,40.7037957,-73.8723964
"4038260020","78-30 78 STREET","11385",1,2,40.7037463,-73.8723749
"4038260021","78-32 78 STREET","11385",2,2,40.7036941,-73.8723533
"4038260022","78-34 78 STREET","11385",1,2,40.7036392,-73.8723318
"4038260023","78-36 78 STREET","11385",1,2,40.703587,-73.8723103
"4038260024","78-38 78 STREET","11385",2,2,40.7035348,-73.8722887
"4038260025","78-40 78 STREET","11385",1,2,40.7034827,-73.8722672
"4038260026","78-42 78 STREET","11385",1,2,40.7034305,-73.8722456
"4038260027","78-44 78 STREET","11385",1,2,40.7033783,-73.8722241
"4038260028","78-46 78 STREET","11385",1,2,40.7033261,-73.8722026
"4038260029","78-48 78 STREET","11385",1,2,40.703274,-73.872181
"4038260030","78-50 78 STREET","11385",1,2,40.703219,-73.8721595
"4038260031","78-52 78 STREET","11385",1,2,40.7031669,-73.8721379
"4038260060","78-29 76 STREET","11385",1,2,40.7037714,-73.8727499
"4038260061","78-25 76 STREET","11385",2,2,40.7038757,-73.8727894
"4038260062","78-23 76 STREET","11385",1,2,40.7039279,-73.8728109
"4038260065","78-17 76 STREET","11385",1,2,40.7040844,-73.8728756
"4038260066","78-15 76 STREET","11385",1,2,40.7041366,-73.8728971
"4038260067","78-13 76 STREET","11385",2,2,40.7041915,-73.8729186
"4038260160","78-27 76 STREET","11385",1,2,40.7038236,-73.8727715
"4038270010","78-02 79 STREET","11385",1,2,40.7045664,-73.8718467
"4038270012","78-04 79 STREET","11385",2,2,40.7045197,-73.8717891
"4038270013","78-06 79 STREET","11385",1,2,40.7044647,-73.871764
"4038270014","78-08 79 STREET","11385",1,2,40.7044126,-73.8717424
"4038270015","78-10 79 STREET","11385",2,2,40.7043494,-73.8717209
"4038270017","78-12 79 STREET","11385",2,2,40.7042835,-73.8716886
"4038270018","78-14 79 STREET","11385",2,2,40.7042203,-73.8716671
"4038270034","78-48 79 STREET","11385",2,2,40.7033444,-73.8713009
"4038270037","78-52 79 STREET","11385",2,2,40.7032153,-73.871247
"4038270038","78-54 79 STREET","11385",2,2,40.7031549,-73.8712219
"4038270053","78-51 78 STREET","11385",2,2,40.7031745,-73.8715933
"4038270055","78-49 78 STREET","11385",1,2,40.7032514,-73.8716256
"4038270056","78-45 78 STREET","11385",2,2,40.7033255,-73.871658
"4038270058","78-43 78 STREET","11385",2,2,40.7034024,-73.8716903
"4038270059","78-41 78 STREET","11385",2,2,40.7034793,-73.871719
"4038270061","78-39 78 STREET","11385",1,2,40.7035535,-73.8717513
"4038270062","78-35 78 STREET","11385",1,2,40.7036303,-73.8717836
"4038270064","78-33 78 STREET","11385",2,2,40.7037072,-73.8718159
"4038270065","78-29 78 STREET","11385",1,2,40.7037841,-73.8718482
"4038270067","78-27 78 STREET","11385",2,2,40.7038583,-73.8718769
"4038270068","78-23 78 STREET","11385",1,2,40.7039352,-73.8719093
"4038280027","79-04 78 AVENUE","11385",2,2,40.7045328,-73.8712264
"4038280028","79-06 78 AVENUE","11385",2,2,40.7045519,-73.8711434
"4038280030","79-10 78 AVENUE","11385",2,2,40.7045737,-73.8710568
"4038280051","78-02 79 PLACE","11385",1,2,40.70473,-73.8708906
"4038280052","78-04 79 PLACE","11385",1,2,40.7046778,-73.8708691
"4038280053","78-06 79 PLACE","11385",1,2,40.7046229,-73.870844
